extraction_method,dataset,num_samples,contextual_relevance,answer_completeness,semantic_fidelity,response_coherence,compression_ratio,num_facts_extracted,extraction_cache_hits,avg_inference_time,total_time,compression_quality
simple,squad,1,0.9297822117805481,1.0,0.5070252418518066,1.0,1.0,0.0,0,14.462104320526123,326.2355065345764,1.0
simple,hotpot_qa,1,0.24135178327560425,0.0,0.04111417382955551,0.9689655172413792,1.0,0.0,0,59.78670048713684,326.2355065345764,1.0
simple,coqa,1,0.7841330766677856,1.0,0.3870307505130768,0.9666666666666666,1.0,0.0,0,12.652385234832764,326.2355065345764,1.0
simple,narrativeqa,1,0.6182628870010376,0.8,0.4756176471710205,0.9526315789473683,1.0,0.0,0,21.97545838356018,326.2355065345764,1.0
yake,squad,1,0.9297822117805481,1.0,0.5070252418518066,1.0,1.0,0.0,0,12.471807718276978,248.90419459342957,1.0
yake,hotpot_qa,1,0.24135178327560425,0.0,0.04111417382955551,0.9689655172413792,1.0,0.0,0,38.09804177284241,248.90419459342957,1.0
yake,coqa,1,0.703457772731781,1.0,0.3202529847621918,1.0,1.0,0.0,0,16.748844146728516,248.90419459342957,1.0
yake,narrativeqa,1,0.8801367282867432,0.4,0.23986119031906128,0.94375,1.0,0.0,0,10.412656784057617,248.90419459342957,1.0
spacy_ner,squad,1,0.9297822117805481,1.0,0.5070252418518066,1.0,1.0,0.0,0,4.285415410995483,113.68469285964966,1.0
spacy_ner,hotpot_qa,1,0.07860706746578217,0.0,0.06698096543550491,0.7285714285714285,1.0,0.0,0,12.67762017250061,113.68469285964966,1.0
spacy_ner,coqa,1,0.6336303353309631,1.0,0.231929212808609,1.0,1.0,0.0,0,8.962060689926147,113.68469285964966,1.0
spacy_ner,narrativeqa,1,0.6182628870010376,0.8,0.4756176471710205,0.9526315789473683,1.0,0.0,0,10.280088424682617,113.68469285964966,1.0
hybrid,squad,1,0.9297822117805481,1.0,0.5070252418518066,1.0,1.0,0.0,0,4.2457029819488525,108.49221587181091,1.0
hybrid,hotpot_qa,1,0.07860706746578217,0.0,0.06698096543550491,0.7285714285714285,1.0,0.0,0,12.099438190460205,108.49221587181091,1.0
hybrid,coqa,1,0.770667552947998,0.0,0.2970518171787262,0.9727272727272727,1.0,0.0,0,7.352478742599487,108.49221587181091,1.0
hybrid,narrativeqa,1,0.6182628870010376,0.8,0.4756176471710205,0.9526315789473683,1.0,0.0,0,10.439546346664429,108.49221587181091,1.0
